# 11
    535.32080078      432.77795410
    657.29345703       32.12273026      529.18945312
    788.79583740      619.72955322      584.93347168
     57.68424225      780.89141846      417.73687744
    993.17724609      448.10430908      889.51519775
    271.59588623      581.79028320      320.82040405
    376.93960571      665.12487793      396.35504150
    153.47052002      339.19464111      164.07788086
    772.38256836      165.31044006      788.14379883
     64.92626953      487.74783325      711.55084229
    617.49212646      580.99328613
